"PathID","ruleFiredFlags","rulesFiredForRecordCount","_recordCorrelationKey","Final_Response","Prompt_Score","System_Prompt","_category_","_feature_","_match_text_","_score_","_sentiment_","added_prompt","answer_llm","complete_prompt","input_prompt","matched_c","output_prompt","returnCode","rowCount","sources","content"
"/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/95df537a-4588-4a36-a393-fde7284753bd"," 11","           2","7a58fd4e-4820-9649-b9e6-db147584db1a","Your input contains sensitive and personal banking information, such as an account number, that shou","           5","","[{""metadata"":[{""ID"":""int""},{""NAME"":""string""},{""SCORE"":""decimal""}]},{""data"":[[1,""cConfidential"",2]]}]","null","[{""metadata"":[{""CATEGORY_ID"":""int""},{""MATCH_TEXT"":""string""},{""START"":""int""},{""END"":""int""}]},{""data"":","         0.5","Neutral"," The user is frustrated so please be as understanding and nice as possible.","","","","cConfidential","age race gender male female","           .","           .","","age race gender male female"
"/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/4df6a915-f3e7-4496-8faa-dbb448d5bf17/e8a015cc-f178-433f-a87c-41c563fcfdb5/b4a9d3d5-e34e-45e0-9908-e9b11568a32b"," 1 1","           2","b97e2f8a-c8ea-574e-8651-8c87ea79d31d","","           5","You are a helpful assistant working for CBA. You must only answer based off the knowledge from the source documents provided. If a question is asked that is not related to CBA, respond with that you do not have expertise in that area.","null","null","null","         0.5","Neutral"," The user is frustrated so please be as understanding and nice as possible.","I do not have expertise in that area.","You are a helpful assistant working for CBA. You must only answer based off the knowledge from the source documents provided. If a question is asked that is not related to CBA, respond with that you do not have expertise in that area. What does the ABS do?","","null","What does the ABS do?","           0","           1","• Information on how we process any 
personal data you provide to us that is 
covered by the General Data Protection 
Regulation (GDPR) and your rights 
under the GDPR.Sometimes we update our Group Privacy 
Statement.  You can always find the most 
up-to-date version on our websites. 
 5.  How to contact us about privacy 
concerns
Email  
customerrelations@cba.com.au
Phone  
1800 805 605
Write to  
 CBA Group Customer Relations, 
Replied Paid 41, Sydney, NSW, 
2001
Privacy Consent
If you give us your contact details, you consent to us using these to communicate 
with you including providing updates, reminders, and marketing information.  If 
you don’t want to receive direct marketing messages or want to change your 
contact preferences, log on to NetBank and click Message Preferences, or call us 
on 13 2221.9 Talk to us 
Most problems can be resolved quickly and 
simply by talking with us.  You can contact us: 
• In person at any of our branches 
• By phone 1800 805 605 • By toll free fax 1800 028 542 • Online at commbank.com.au/feedback 
National Relay Service 
• TTY or Voice: Call 133 677 then ask 
for 13 2221 
• Speak & listen: Call 1300 555 727 then 
ask for 13 2221 
• SMS relay – Text 
0423 677 767 
For more information, visit the National Relay 
Service: relayservice.com.au 
Our staff will do everything they can to 
rectify your problem.  We strive, wherever possible, to resolve your complaint within 5 working days. 
 You can contact the CBA Customer Relations team by writing: 
CBA Group Customer Relations Reply Paid 41 Sydney NSW 2001 
If you would like to have a third party help 
with your complaint, please give us written authority to discuss your complaint with them. 
 You will be advised of the details (including 
the timeframes) of our internal dispute resolution process, and an officer with the appropriate authority to resolve the dispute","What does the ABS do?"
"/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/4df6a915-f3e7-4496-8faa-dbb448d5bf17/e8a015cc-f178-433f-a87c-41c563fcfdb5/b4a9d3d5-e34e-45e0-9908-e9b11568a32b"," 1 1","           2","5dfc13be-18cc-8848-ac6a-966494942e3f","","           5","You are a helpful assistant working for CBA. You must only answer based off the knowledge from the source documents provided. If a question is asked that is not related to CBA, respond with that you do not have expertise in that area.","null","null","null","         0.5","Neutral"," The user is frustrated so please be as understanding and nice as possible.","Commonwealth Bank of Australia (CommBank) provides a range of financial products and services, including transaction, savings, and investment accounts. They offer various account types such as Smart Access, Everyday Offset, Pensioner Security, Streamline Basic, GoalSaver, Youthsaver, NetBank Saver, and Commonwealth Direct Investment. They also provide information on standard fees, charges, and interest rates for these accounts. Additionally, CommBank offers customer support through various chann","You are a helpful assistant working for CBA. You must only answer based off the knowledge from the source documents provided. If a question is asked that is not related to CBA, respond with that you do not have expertise in that area. What does CommBank do?","","null","What does CommBank do?","           0","           1","ADB2852  080824Contact us.  • Message us  in the CommBank app
• Call 13 2221  or visit  
commbank.com.au/contactus
• Overseas?  Message us or call +61 2 9999 3283
Visit our website.  commbank.com.au
Visit your nearest 
CommBank branch during 
business hours.For details, visit our website  
commbank.com.au/find-us
Access telephone  
banking for hearing  
or speech-impaired 
customers.Contact us using the National Relay Service —  
24 hours a day, 7 days a week:
• TTY users phone 133 677  then ask for 13 2221
•  Speak and Listen (speech-to-speech relay) users  
phone 1300 555 727  then ask for 13 2221  
• Internet relay users connect to the National 
Relay Service via relayservice.com.au  then ask 
for 13 2221
Make a complaint.  Group Customer Relations  
Commonwealth Bank of Australia  
Reply Paid 41 Sydney NSW 2001 
Free call:  1800 805 605
Give us feedback.  Online at  commbank.com.au/feedback
Contact the Australian 
Financial Complaints 
Authority.Australian Financial Complaints Authority  
GPO Box 3  
Melbourne VIC 3001 
Phone 1800 931 678  or visit afca.org.auBThis document contains the following: 
• Privacy Collection Notice – Transaction, Savings and Investment Accounts
• CommBank Transaction, Savings and Investment Account Terms and Conditions
These Terms and Conditions apply to these accounts: 
• Smart Access
• Everyday Offset
• Pensioner Security 
• Streamline Basic 
• GoalSaver
• Youthsaver
• NetBank Saver
• Commonwealth Direct Investment
They also apply to these accounts, which are no longer  
available for sale: 
• Complete Access
• AwardSaver 
• Cash Investment 
• Cash Management Call 
• Passbook (Pensioner Security, Passbook  
Savings and Savings Investment)
Want more information about our accounts? 
 Information on our current standard fees, charges and any interest rates are available on 
request.  Come into a branch, visit commbank.com.au  or call us on 13 2221 . 
 These products are issued by Commonwealth Bank of Australia ABN 48 123 123 124 AFSL 2","What does CommBank do?"
"/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/4df6a915-f3e7-4496-8faa-dbb448d5bf17/e8a015cc-f178-433f-a87c-41c563fcfdb5/b4a9d3d5-e34e-45e0-9908-e9b11568a32b"," 1 1","           2","05c8f2e2-2a2b-0b42-afe3-ed6ba66d0827","","           5","You are a helpful assistant working for CBA. You must only answer based off the knowledge from the source documents provided. If a question is asked that is not related to CBA, respond with that you do not have expertise in that area.","null","null","null","         0.5","Neutral"," The user is frustrated so please be as understanding and nice as possible.","You have several options for savings accounts at CommBank, including:

- GoalSaver
- Youthsaver
- NetBank Saver
- Commonwealth Direct Investment

Additionally, there are accounts that are no longer available for sale but may still be in use, such as:

- AwardSaver
- Cash Investment
- Passbook (Pensioner Security, Passbook Savings, and Savings Investment)","You are a helpful assistant working for CBA. You must only answer based off the knowledge from the source documents provided. If a question is asked that is not related to CBA, respond with that you do not have expertise in that area. What options do I have for savings accounts at Commbank?","","null","What options do I have for savings accounts at Commbank?","           0","           1","BThis document contains the following: 
• Privacy Collection Notice – Transaction, Savings and Investment Accounts
• CommBank Transaction, Savings and Investment Account Terms and Conditions
These Terms and Conditions apply to these accounts: 
• Smart Access
• Everyday Offset
• Pensioner Security 
• Streamline Basic 
• GoalSaver
• Youthsaver
• NetBank Saver
• Commonwealth Direct Investment
They also apply to these accounts, which are no longer  
available for sale: 
• Complete Access
• AwardSaver 
• Cash Investment 
• Cash Management Call 
• Passbook (Pensioner Security, Passbook  
Savings and Savings Investment)
Want more information about our accounts? 
 Information on our current standard fees, charges and any interest rates are available on 
request.  Come into a branch, visit commbank.com.au  or call us on 13 2221 . 
 These products are issued by Commonwealth Bank of Australia ABN 48 123 123 124 AFSL 234945.These Transaction, Savings & Investment Account Terms and Conditions set out the 
terms of your contract with us, including how you can put money into your account  and take it out, and the fees that apply to your account. 
 Other terms and conditions.
 You’ll also need to read these other documents if you use NetBank, the CommBank app or the services set out below; or you want to know your current interest rates.  These documents are available at commbank.com.au  or from your local CommBank branch. 
 The CommBank app Terms and Conditions  are available when you download the app.
 Read Covers
Electronic Banking  
Terms and Conditions These apply whenever you access your account 
electronically, including but not limited to, through Telephone Banking, NetBank, Debit Mastercard®, ATMs, EFTPOS, PayTo or BPay®
CommBank app  
Terms and ConditionsThese apply when you use the CommBank app  for mobile banking
Interest Rates on Transaction, 
Savings and Investment Accounts Our current interest rates (this document forms part  of the terms that apply to your account)","What options do I have for savings accounts at Commbank?"
"/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/95df537a-4588-4a36-a393-fde7284753bd"," 11","           2","233bf3fa-8af4-a340-81f3-ff4b432cd17d","Your input contains sensitive and personal banking information, such as an account number, that shou","           5","","[{""metadata"":[{""ID"":""int""},{""NAME"":""string""},{""SCORE"":""decimal""}]},{""data"":[[1,""cConfidential"",2]]}]","null","[{""metadata"":[{""CATEGORY_ID"":""int""},{""MATCH_TEXT"":""string""},{""START"":""int""},{""END"":""int""}]},{""data"":","         0.5","Neutral"," The user is frustrated so please be as understanding and nice as possible.","","","","cConfidential","My name is Jane Smith and I am age 56. I make 150k per annum what is the best option I have for a savings account?","           .","           .","","My name is Jane Smith and I am age 56. I make 150k per annum what is the best option I have for a savings account?"
"/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/4df6a915-f3e7-4496-8faa-dbb448d5bf17/e8a015cc-f178-433f-a87c-41c563fcfdb5/b4a9d3d5-e34e-45e0-9908-e9b11568a32b"," 1 1","           2","671048ff-4349-ea45-8abf-fa02d03df4b7","","           5","You are a helpful assistant working for CBA. You must only answer based off the knowledge from the source documents provided. If a question is asked that is not related to CBA, respond with that you do not have expertise in that area.","null","null","null","         0.5","Neutral"," The user is frustrated so please be as understanding and nice as possible.","I do not have expertise in that area.","You are a helpful assistant working for CBA. You must only answer based off the knowledge from the source documents provided. If a question is asked that is not related to CBA, respond with that you do not have expertise in that area. How do I get a home loan?","","null","How do I get a home loan?","           0","           1","9 Talk to us 
Most problems can be resolved quickly and 
simply by talking with us.  You can contact us: 
• In person at any of our branches 
• By phone 1800 805 605 • By toll free fax 1800 028 542 • Online at commbank.com.au/feedback 
National Relay Service 
• TTY or Voice: Call 133 677 then ask 
for 13 2221 
• Speak & listen: Call 1300 555 727 then 
ask for 13 2221 
• SMS relay – Text 
0423 677 767 
For more information, visit the National Relay 
Service: relayservice.com.au 
Our staff will do everything they can to 
rectify your problem.  We strive, wherever possible, to resolve your complaint within 5 working days. 
 You can contact the CBA Customer Relations team by writing: 
CBA Group Customer Relations Reply Paid 41 Sydney NSW 2001 
If you would like to have a third party help 
with your complaint, please give us written authority to discuss your complaint with them. 
 You will be advised of the details (including 
the timeframes) of our internal dispute resolution process, and an officer with the appropriate authority to resolve the dispute In these situations, if M is listed for your account type, we won’t charge you a monthly 
account fee.  If W is listed for your account type, we won’t charge a withdrawal fee. 
 Transacting accounts.  
 If... Smart AccessComplete  
AccessPensioner Security
Your Relationship Balance 
(see definition below) is 
$50,000 or moreM M –
You have a CommBank 
Home Loan and meet 
the eligibility criteria (see 
eligibility criteria below)M M –
You put in at least 
$2,000 each month
M M –
You’re under 18 M, W M –
You’re under 30 M M –
An Australian Age, 
Service or Disability 
Pension is directly 
credited to your accountM + 2 extra  
assisted  
withdrawalsM2 extra  
assisted withdrawals
You have a disability  
that requires you to use  
a branch (visit a branch  
to apply)M, W M WInvesting and Passbook accounts. 
 If...Commonwealth 
Direct Investment, 
Cash InvestmentCash  
Management  
CallPassbook  
Savings and Savings 
Investment","How do I get a home loan?"
"/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/95df537a-4588-4a36-a393-fde7284753bd"," 11","           2","7ce529cf-947b-1e4b-8137-2ca201358d3e","Your input contains sensitive and personal banking information, such as an account number, that shou","           5","","[{""metadata"":[{""ID"":""int""},{""NAME"":""string""},{""SCORE"":""decimal""}]},{""data"":[[1,""cConfidential"",2]]}]","null","[{""metadata"":[{""CATEGORY_ID"":""int""},{""MATCH_TEXT"":""string""},{""START"":""int""},{""END"":""int""}]},{""data"":","         0.5","Neutral"," The user is frustrated so please be as understanding and nice as possible.","","","","cConfidential","I earn 100k and I am a female age 23 and my name is jane how do I get a home loan?","           .","           .","","I earn 100k and I am a female age 23 and my name is jane how do I get a home loan?"
"/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/95df537a-4588-4a36-a393-fde7284753bd"," 11","           2","160e73cc-bc00-dc48-b047-808184540cd3","Your input contains sensitive and personal banking information, such as an account number, that shou","           5","","[{""metadata"":[{""ID"":""int""},{""NAME"":""string""},{""SCORE"":""decimal""}]},{""data"":[[1,""cConfidential"",1]]}]","null","[{""metadata"":[{""CATEGORY_ID"":""int""},{""MATCH_TEXT"":""string""},{""START"":""int""},{""END"":""int""}]},{""data"":","         0.5","Neutral"," The user is frustrated so please be as understanding and nice as possible.","","","","cConfidential","my bank bsb is 062 334 I want to get a home loan","           .","           .","","my bank bsb is 062 334 I want to get a home loan"
"/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/95df537a-4588-4a36-a393-fde7284753bd"," 11","           2","76fa2361-c023-0e4e-96aa-2e2ed547ddc3","Your input contains sensitive and personal banking information, such as an account number, that shou","           5","","[{""metadata"":[{""ID"":""int""},{""NAME"":""string""},{""SCORE"":""decimal""}]},{""data"":[[1,""cConfidential"",2]]}]","null","[{""metadata"":[{""CATEGORY_ID"":""int""},{""MATCH_TEXT"":""string""},{""START"":""int""},{""END"":""int""}]},{""data"":","         0.5","Neutral"," The user is frustrated so please be as understanding and nice as possible.","","","","cConfidential","my bank bsb is 062 334 and my acct number is 1234 5678 help me get a home loan please","           .","           .","","my bank bsb is 062 334 and my acct number is 1234 5678 help me get a home loan please"
"/1f3a6a57-3bf1-4549-9b54-b1d782b4b091/f04d4f70-5223-4dff-b532-bb01f7be7b39/4fc73648-ce50-4733-8b38-82fb9838f3d8/917b9872-273d-458f-8661-c99f64d8830c/9afc122f-148a-4575-a265-b4835b111461/4df6a915-f3e7-4496-8faa-dbb448d5bf17/e8a015cc-f178-433f-a87c-41c563fcfdb5/b4a9d3d5-e34e-45e0-9908-e9b11568a32b"," 1 1","           2","da847ff5-09ae-f944-acb6-29764c05af22","","           5","You are a helpful assistant working for CBA. You must only answer based off the knowledge from the source documents provided. If a question is asked that is not related to CBA, respond with that you do not have expertise in that area.","null","null","null","         0.5","Neutral"," The user is frustrated so please be as understanding and nice as possible.","I do not have expertise in that area.","You are a helpful assistant working for CBA. You must only answer based off the knowledge from the source documents provided. If a question is asked that is not related to CBA, respond with that you do not have expertise in that area. what is the capital of China?","","null","what is the capital of China?","           0","           1","• Information on how we process any 
personal data you provide to us that is 
covered by the General Data Protection 
Regulation (GDPR) and your rights 
under the GDPR.Sometimes we update our Group Privacy 
Statement.  You can always find the most 
up-to-date version on our websites. 
 5.  How to contact us about privacy 
concerns
Email  
customerrelations@cba.com.au
Phone  
1800 805 605
Write to  
 CBA Group Customer Relations, 
Replied Paid 41, Sydney, NSW, 
2001
Privacy Consent
If you give us your contact details, you consent to us using these to communicate 
with you including providing updates, reminders, and marketing information.  If 
you don’t want to receive direct marketing messages or want to change your 
contact preferences, log on to NetBank and click Message Preferences, or call us 
on 13 2221.9 Talk to us 
Most problems can be resolved quickly and 
simply by talking with us.  You can contact us: 
• In person at any of our branches 
• By phone 1800 805 605 • By toll free fax 1800 028 542 • Online at commbank.com.au/feedback 
National Relay Service 
• TTY or Voice: Call 133 677 then ask 
for 13 2221 
• Speak & listen: Call 1300 555 727 then 
ask for 13 2221 
• SMS relay – Text 
0423 677 767 
For more information, visit the National Relay 
Service: relayservice.com.au 
Our staff will do everything they can to 
rectify your problem.  We strive, wherever possible, to resolve your complaint within 5 working days. 
 You can contact the CBA Customer Relations team by writing: 
CBA Group Customer Relations Reply Paid 41 Sydney NSW 2001 
If you would like to have a third party help 
with your complaint, please give us written authority to discuss your complaint with them. 
 You will be advised of the details (including 
the timeframes) of our internal dispute resolution process, and an officer with the appropriate authority to resolve the dispute","what is the capital of China?"
